fault type,input voltage,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile Voltage,Third Quartile Voltage,Absolute Mean Deviation Voltage,Mean Absolute Local Derivative Voltage
1,0.9,0.22583333333333336,0.9,0.9,0.15041597222222222,0.0,0.0,0.35000000000000003,0.33541666666666675,0.022689075630252103
1,1.4,0.4704545454545454,1.4,1.4,0.4332937327823691,0.0,0.0,1.4,0.6196969696969695,0.010687022900763359
1,1.9,0.7861538461538463,1.9,1.9,0.8595005917159763,0.0,0.0,1.9,0.9099644970414201,0.027131782945736434
1,2.4,0.8609589041095892,2.4,2.4,1.3116949709138679,0.0,0.0,2.4,1.0949333833739914,0.01793103448275862
1,2.9,1.4793749999999997,2.9,2.9,2.0806371093749996,2.9,0.0,2.9,1.4383828125,0.018238993710691823
1,3.4,1.4093959731543626,3.6,3.6,2.779240574748884,0.0,0.0,3.4,1.6378181163010674,0.028378378378378387
1,3.9,1.7770270270270268,4.9,4.9,3.7347425127830527,0.0,0.0,3.9,1.9116508400292183,0.09455782312925172
2,0.9,0.68855421686747,0.9,0.30000000000000004,0.01872441573523009,0.6,0.6,0.9,0.12482943823486727,0.0018181818181818184
2,1.4,0.8243750000000001,1.4,0.8999999999999999,0.12971835937499998,0.6,0.6,1.4,0.3237890625,0.006289308176100628
2,1.9,0.9187134502923978,1.9,1.4,0.3135679354331247,0.6,0.6,0.6,0.4820354981019802,0.008823529411764706
2,2.4,1.049431818181818,2.4,1.9,0.6080678589876033,0.6,0.6,1.0499999999999998,0.6752840909090909,0.011428571428571427
2,2.9,1.2005813953488371,2.9,2.4,1.0234298945375877,0.6,0.6,2.9,0.8892306652244454,0.0152046783625731
2,3.4,1.2542857142857147,3.4,2.9,1.4024816326530605,0.6,0.6,0.6,1.0031346938775514,0.019540229885057474
2,3.9,1.9194174757281544,4.9,4.4,2.6837977189178996,0.6,0.6,3.9,1.5961919125270996,0.0824390243902439
