R,DC,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile Voltage,Third Quartile Voltage,Absolute Mean Deviation Voltage,Mean Absolute Local Derivative Voltage
1.0,75.0,0.050740296118447374,0.054901960784313725,0.00784313725490196,3.394715229028787e-06,0.050980392156862744,0.050980392156862744,0.050980392156862744,0.0010518493111530355,0.0017973856209150326
1.0,69.0,0.0396358543417367,0.043137254901960784,0.00392156862745098,1.471176705976508e-06,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0007503001200480235,0.0007262164124909223
2.0,75.0,0.07466063348416291,0.11372549019607843,0.07450980392156863,0.00020995566111349978,0.07450980392156863,0.07058823529411765,0.07450980392156863,0.00690335305719922,0.013225682429834677
2.0,69.0,0.05882352941176469,0.058823529411764705,0.0,1.925929944387236e-34,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.3877787807814457e-17,0.0
3.0,59.0,0.10980392156862745,0.10980392156862745,0.0,0.0,0.10980392156862745,0.10980392156862745,0.10980392156862745,0.0,
3.0,75.0,0.0872549019607843,0.09803921568627451,0.011764705882352941,4.933999743688325e-06,0.08627450980392157,0.08627450980392157,0.08627450980392157,0.0015686274509803817,0.001661681621801263
3.0,69.0,0.06761734997029115,0.07058823529411765,0.027450980392156862,4.1970154164764626e-05,0.07058823529411765,0.06666666666666667,0.07058823529411765,0.003601073119789697,0.00428921568627451
4.0,75.0,0.09554367201426023,0.10196078431372549,0.00784313725490196,4.956771235475231e-06,0.09411764705882353,0.09411764705882353,0.09803921568627451,0.0019445794846864291,0.002553579571363429
4.0,69.0,0.07708683473389358,0.11372549019607843,0.07450980392156863,0.00020119106466115862,0.07450980392156863,0.07450980392156863,0.0784313725490196,0.007126050420168071,0.012572087658592846
6.0,75.0,0.10683883309421331,0.12549019607843137,0.0196078431372549,1.033785339963282e-05,0.10588235294117647,0.10588235294117647,0.10588235294117647,0.0016330148954287376,0.0018627450980392157
6.0,69.0,0.08612926652142339,0.09803921568627451,0.01568627450980392,7.3834638887965955e-06,0.08627450980392157,0.08627450980392157,0.08627450980392157,0.0011189112133193444,0.0016591251885369532
22.0,75.0,0.12242114236999145,0.13725490196078433,0.015686274509803935,5.736730117130567e-06,0.12156862745098039,0.12156862745098039,0.12156862745098039,0.0014332134870331096,0.0013840830449826996
22.0,69.0,0.09927760577915379,0.10980392156862745,0.03137254901960784,1.78921169249841e-05,0.09803921568627451,0.09803921568627451,0.10196078431372549,0.0025310955407093633,0.003391626921038686
100.0,69.0,0.1068627450980392,0.12549019607843137,0.0196078431372549,1.26699521163189e-05,0.10588235294117647,0.10588235294117647,0.10588235294117647,0.001782531194295886,0.0011855905152758778
100.0,75.0,0.12994170641229472,0.15294117647058825,0.027450980392156876,1.5929143395710314e-05,0.12941176470588237,0.12941176470588237,0.12941176470588237,0.0014265457826666602,0.001089324618736385
120.0,69.0,0.10666666666666669,0.11372549019607843,0.00784313725490196,3.9984621299500195e-06,0.10588235294117647,0.10588235294117647,0.10588235294117647,0.001333333333333349,0.000825593395252838
120.0,75.0,0.13082352941176473,0.1568627450980392,0.02745098039215685,2.937946943483272e-05,0.12941176470588237,0.12941176470588237,0.12941176470588237,0.0024847058823529466,0.001470588235294116
