fault type,input voltage,derivative of MV,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
1,0.4,0.00465509944985188,0.00742971887550201,0.0200803212851406,0.0200803212851406,6.47297519800968e-05,0,0,0.0160642570281124,0.00796041308089501,0.000173355291670278
1,0.9,0.00560224089635854,0.00906961178045515,0.036144578313253,0.036144578313253,0.000244641170285633,0,0,0.0200803212851406,0.0134705488621151,0.000911207856636631
1,1.4,0.0046400239485107,0.0188937568455641,0.0562248995983936,0.0562248995983936,0.000704184317234882,0,0,0.0562248995983936,0.0248874285018863,0.000429197706857966
1,1.9,0.00483356133150935,0.0315724436206364,0.0763052208835341,0.0763052208835341,0.00139701518846566,0,0,0.0763052208835341,0.0365447589173261,0.00108962983717817
1,2.4,0.0049763353617309,0.0345766628156461,0.0963855421686747,0.0963855421686747,0.00213019329224862,0,0,0.0963855421686747,0.0439732282479515,0.000720121866777455
1,2.9,0.00446417560734986,0.0594126506024097,0.116465863453815,0.116465863453815,0.00337691791641827,0.116465863453815,0,0.116465863453815,0.0577663780120482,0.0007324897072567
1,3.4,0.00471648118706942,0.0566022479178459,0.144578313253012,0.144578313253012,0.00451286144946206,0,0,0.136546184738956,0.0657758279638983,0.00113969391077825
1,3.9,0.00421501934106976,0.0713665472701618,0.196787148594378,0.196787148594378,0.00606465851266051,0,0,0.156626506024096,0.0767731261055911,0.00379750293691774
2,0.4,0.00472136222910217,0.00682468435834843,0.0160642570281124,0.0160642570281124,6.34720168605645e-05,0,0,0.0160642570281124,0.00785061730110668,0.00010568590150074
2,0.9,0.00517749583493528,0.0176028790486622,0.036144578313253,0.036144578313253,0.000328520539769504,0,0,0.036144578313253,0.0180600966862898,0.00023623907394283
2,2.4,0.00503042596348884,0.0349617648676899,0.0963855421686747,0.0963855421686747,0.00215973553445894,0,0,0.0963855421686747,0.0445403305848653,0.000720121866777455
2,1.9,0.00438904038436566,0.036144578313253,0.0763052208835341,0.0763052208835341,0.00146120266592581,0,0,0.0763052208835341,0.0380469245402663,0.000505332588632676
2,2.4,0.00597878495660559,0.0453847911973096,0.0963855421686747,0.0963855421686747,0.00232754970354777,0,0,0.0963855421686747,0.0479676654930914,0.000921719665547436
2,2.9,0.00498846597462514,0.0509776331603788,0.116465863453815,0.116465863453815,0.00335966166669884,0,0,0.116465863453815,0.0573033248664112,0.000915426411528467
2,3.4,0.00520833333333333,0.0539522430808505,0.136546184738956,0.136546184738956,0.00448678372154288,0,0,0.136546184738956,0.0652445730280053,0.00112951807228916
2,3.9,0.00414354421013689,0.0780622489959839,0.196787148594378,0.196787148594378,0.00617715488256986,0.0602409638554217,0,0.156626506024096,0.078062248995984,0.00351089894167866
